pseudo-steps, tcurr,n,res,res_p,res_u,res_v,res_w,min,min_p,min_u,min_v,min_w,max,max_p,max_u,max_v,max_w
12,0.01,12,0.042583455891298624,0.03800836591390552,0.0019045970058310304,0.0019046082488810127,0.0007658847226810536,0.00014285086970412578,0.00014285086970412578,0.0003224452155364929,0.0003224452155364929,0.0003224452155364929,0.0003224452155364929,0.0003224452155364929,0.0003224452155364929,0.0003224452155364929,0.0003224452155364929
21,0.02,9,0.0782445351821023,0.07593201710600057,0.0008799873690632778,0.0008807394584157579,0.0005517912486226925,0.00010043253789059291,0.00010043253789059291,0.0004476412453781304,0.0004476412453781304,0.00043529327284281676,0.0004613445488080732,0.0004613445488080732,0.0004613445488080732,0.0004613445488080732,0.0004613445488080732
182,0.03,161,0.10858827431683893,0.10797223348613362,0.00020538747674762122,0.00020581183040176387,0.00020484152355592606,4.4154825332574064e-05,4.4154825332574064e-05,0.0003540912793258754,0.00035341870617049386,0.00037301281902477594,0.015656317736552575,0.004083432388163807,0.015528313954086062,0.01475685826476733,0.015656317736552575
200,0.04,18,0.10294084714960061,0.09821542985968326,0.0013645829165265973,0.0013678803302390825,0.0019929540431516727,3.3894350499900585e-05,3.3894350499900585e-05,0.000341797443075203,0.000340047629936817,0.0003371782635871762,0.012392074141997285,0.0022939619894178616,0.009667759860255474,0.009123363588803309,0.012392074141997285
216,0.05,16,0.10123364291995596,0.09997694491243787,0.0004317855094088524,0.0004325441240837404,0.00039236837402549415,4.375594039074102e-05,4.375594039074102e-05,0.0003358983921220392,0.00031972084868328864,0.000313100675778611,0.010452396505709465,0.0018573603395629806,0.007513657235564818,0.008236516975378458,0.010452396505709465
276,0.060000000000000005,60,0.10058351352231577,0.09990226857285299,0.00022225904759831465,0.0002224554116701034,0.0002365304901943652,3.9823261699817864e-05,3.9823261699817864e-05,0.00035940046943024376,0.00035614197215225294,0.00030289211404166345,0.012897969181526778,0.0027214543954855127,0.011097644109221426,0.011316923331782304,0.012897969181526778
305,0.07,29,0.10047573042721422,0.0996035494450307,0.0002882093651454772,0.00028853455649274664,0.0002954370605452824,3.772602980579164e-05,3.772602980579164e-05,0.0004001595942585479,0.0003800561850801837,0.0003612444447012623,0.013962455595022478,0.0026969762113775242,0.009088626063503122,0.0088431442893361,0.013962455595022478
363,0.08,58,0.10059593644906012,0.09993992417767579,0.00021380396928033626,0.00021455410099356891,0.0002276542011104316,3.9861415914867396e-05,3.9861415914867396e-05,0.0003784926553108034,0.00034541286749975304,0.00030614136803989756,0.015686998871287997,0.003157057991007898,0.010659877697500986,0.011492272293378009,0.015686998871287997
384,0.09,21,0.10082580333800113,0.09967320526895256,0.00038463168950929447,0.0003856226994687588,0.00038234368007052533,3.694921098229572e-05,3.694921098229572e-05,0.0003285443242307482,0.0003373326721850664,0.0003607963740495224,0.012961943429179789,0.0022294240874528755,0.009431489685188409,0.009160316914411533,0.012961943429179789
408,0.09999999999999999,24,0.10076604051166255,0.09975051747285368,0.000339322786859863,0.00033905565324868404,0.00033714459870032586,3.501815068368346e-05,3.501815068368346e-05,0.00029972001639526645,0.00028821634038827767,0.0003045070496597142,0.014079383207149538,0.002350234272526787,0.010674732196649543,0.01026163922370366,0.014079383207149538
425,0.10999999999999999,17,0.10074699675217759,0.09940721323794614,0.0004482306540311957,0.0004469939079306505,0.0004445589522695882,3.4235276339386215e-05,3.4235276339386215e-05,0.00030174292472287447,0.0003206968310878619,0.00029504887460975784,0.012053518925412541,0.0018546648909941671,0.008891478749582987,0.009080747933735922,0.012053518925412541
442,0.11999999999999998,17,0.1008824740532069,0.0997203845094204,0.0003889781623644694,0.0003907632318719989,0.0003823481495500309,4.2297082051568934e-05,4.2297082051568934e-05,0.00033460309507786664,0.00031776468440008793,0.0003091414518832776,0.011808005234778174,0.0019229735770526384,0.008271333227742168,0.0084731403234876,0.011808005234778174
483,0.12999999999999998,41,0.10040187213414183,0.0998113213723282,0.00020111718585556136,0.00020096680510024143,0.0001884667708578055,3.887741780611157e-05,3.887741780611157e-05,0.0003732428917897531,0.00039166951587581297,0.00037904983279745676,0.013313351937737812,0.002434203732684163,0.01017467135093183,0.010264286629483468,0.013313351937737812
523,0.13999999999999999,40,0.10064294532944294,0.09998339029067103,0.00022308116433369395,0.00022381850646518587,0.0002126553679730162,3.457655510654487e-05,3.457655510654487e-05,0.0003849196480552354,0.0004014789437535401,0.0003777903995492017,0.013662458742548114,0.0024960396610977714,0.008629745578841714,0.009286847158055375,0.013662458742548114
543,0.15,20,0.10075556962890336,0.09975024244059567,0.0003355829925782895,0.00033485164783956443,0.0003348925478898336,4.1993970472807655e-05,4.1993970472807655e-05,0.00036613758807540304,0.0003245948418322977,0.00029644826546580623,0.012194008446474157,0.0024136613747983353,0.007941010003005324,0.007659889640471465,0.012194008446474157
555,0.16,12,0.10083105787412872,0.09983314365614614,0.00032887307121972,0.00032796217380831464,0.00034107897295454406,3.778869790873648e-05,3.778869790873648e-05,0.00034226962088430894,0.0003439320548683033,0.0003177048276132371,0.011569076454566809,0.0020590750987335635,0.0071473667379634825,0.006835478792376676,0.011569076454566809
560,0.17,5,0.10124204931217595,0.09940462993555998,0.0006136209723859703,0.0006126044732525886,0.0006111939309774034,3.83896029703072e-05,3.83896029703072e-05,0.0002848695652173466,0.00028297656543692525,0.00030222478590705116,0.01005911504636415,0.0017641991682418056,0.006248551352391776,0.006286688617176271,0.01005911504636415
564,0.18000000000000002,4,0.1035752446139044,0.0998123758497494,0.0012711775807699478,0.0012709088045965823,0.0012207823787884638,3.989944591262752e-05,3.989944591262752e-05,0.0002605024866807914,0.00023218609080100599,0.0002845584473488847,0.00925727118673829,0.001833616047384046,0.005787788787631958,0.005791639826008676,0.00925727118673829
569,0.19000000000000003,5,0.101133403482734,0.09941555422707712,0.0005778818434038168,0.0005773618029586131,0.0005626056092944481,3.616741641880365e-05,3.616741641880365e-05,0.00022772336072555814,0.00021150139689714683,0.00024952013514912256,0.00904347151060289,0.0017578163193064105,0.005718380675065614,0.0054529713480626334,0.00904347151060289
572,0.20000000000000004,3,0.10340918868888885,0.0983963372320381,0.0016688927814229714,0.0016688032887081916,0.001675155386719584,3.7229574925651255e-05,3.7229574925651255e-05,0.00021610057458335493,0.00021771273379008724,0.00023968692726536662,0.008744674377879355,0.0016038468327597526,0.005711475999815309,0.00533863950932106,0.008744674377879355
576,0.21000000000000005,4,0.10065350744379611,0.09751540722122834,0.001040458099128995,0.0010356168754961054,0.0010620252479426743,4.012828251092743e-05,4.012828251092743e-05,0.00021145897055361743,0.0002074711448203498,0.0002042948196664694,0.008795428544805584,0.0013910793074677476,0.005759885447363022,0.005289783206409633,0.008795428544805584
580,0.22000000000000006,4,0.10064674551819917,0.09755755344975177,0.0009929178762138262,0.0009852415667551122,0.0011110326254784742,3.865413656029833e-05,3.865413656029833e-05,0.00020156108324834062,0.0002020501121469931,0.00020072830741694377,0.009421348979457362,0.001362672814956463,0.005666789193155261,0.005390509155360253,0.009421348979457362
585,0.23000000000000007,5,0.1015633983829163,0.09876755115741022,0.000872870209098511,0.0008631931928728542,0.0010597838235347015,4.0477951063580984e-05,4.0477951063580984e-05,0.00018721888894485656,0.0001906292455766246,0.00018849023509944984,0.009447327061526536,0.0013875456461406419,0.006128911359076799,0.005846621401006157,0.009447327061526536
592,0.24000000000000007,7,0.10118287840714023,0.09998593519624295,0.0003515916937467467,0.0003517713957316468,0.0004935801214188768,4.817720958476697e-05,4.817720958476697e-05,0.0002080913542562486,0.00021334411234898517,0.0002122704400918158,0.00963937404280369,0.0014614394696497645,0.006445795170049609,0.00669680377816508,0.00963937404280369
601,0.25000000000000006,9,0.10055346523301603,0.09968408387976965,0.00026988801785366947,0.0002696819100245431,0.0003298114253681598,5.288779660854859e-05,5.288779660854859e-05,0.0002613300929240477,0.00027295490320684206,0.0002498401698264845,0.009898514189728827,0.0016416016988678,0.006936719108868254,0.00686312650121103,0.009898514189728827
614,0.26000000000000006,13,0.10050717211668278,0.09971147862379551,0.00026115531538011244,0.0002611837358870481,0.00027335444162012015,4.591786512192832e-05,4.591786512192832e-05,0.00026792846725388187,0.0002710871916686295,0.00025580928688558784,0.011005598876235985,0.002178840976510476,0.006775445637270406,0.006856509471269935,0.011005598876235985
634,0.2700000000000001,20,0.10047768774362907,0.09975826368967364,0.00024154992245606948,0.00024062327616955405,0.0002372508553298144,4.763588523005001e-05,4.763588523005001e-05,0.0003439573332951017,0.0003425765751100135,0.0003064483776671802,0.012394474765451535,0.0024076932875783806,0.006856274247088315,0.0067872314606189175,0.012394474765451535
649,0.2800000000000001,15,0.10080689505082024,0.09981369913424454,0.0003283639813272378,0.0003271077028835461,0.0003377242323649188,4.616954866088367e-05,4.616954866088367e-05,0.0003258477112672766,0.0003486992590726867,0.0002703885880224597,0.011545813506043216,0.002227066538619565,0.007141166560812949,0.006580485091298132,0.011545813506043216
657,0.2900000000000001,8,0.10082141368854725,0.09989832176476371,0.0002943002353349021,0.0002939015150033951,0.0003348901734452351,5.002989756363705e-05,5.002989756363705e-05,0.00025251453747103937,0.0002703487226215046,0.00020888318304588177,0.010440795075084743,0.0017339768583815563,0.00595556350292902,0.006417474430530472,0.010440795075084743
662,0.3000000000000001,5,0.10159642934018784,0.0999309071635781,0.000460472434936772,0.0004576901995810127,0.0007473595420919519,4.428692624973749e-05,4.428692624973749e-05,0.0002451522238161036,0.0002478591676936274,0.0001654154414830727,0.009423409554189709,0.0014542236636989033,0.005375233745178105,0.005453157553031969,0.009423409554189709
670,0.3100000000000001,8,0.10066979268283108,0.09975604776712527,0.0002696263440637768,0.00026818723392954297,0.0003759313377124909,5.327294228368296e-05,5.327294228368296e-05,0.0002621362268807862,0.0002465201584649585,0.00016915024455715837,0.00973649848545659,0.0014815239629116929,0.005466738936344478,0.005624647924178964,0.00973649848545659
673,0.3200000000000001,3,0.10433922167416051,0.09981439385054638,0.0012884776477332578,0.0012650929000660234,0.001971257275814865,4.7285661082142985e-05,4.7285661082142985e-05,0.00022350214289226463,0.00022304428525288329,0.00016873685076827932,0.008636931652263691,0.0013931355581439967,0.005140590763273219,0.005497319353001328,0.008636931652263691
678,0.3300000000000001,5,0.10211946494943167,0.09952052183640368,0.0007333596091876533,0.0007094172391924122,0.0011561662646479246,4.398445933937731e-05,4.398445933937731e-05,0.00019158064609455026,0.00018968544871756588,0.0001497020839460753,0.008018011856912444,0.0012970116871119668,0.005035855946746239,0.005113529429938991,0.008018011856912444
682,0.34000000000000014,4,0.0993752798878017,0.09686868486568931,0.0007512570062009004,0.0007422739233374232,0.0010130640925740738,4.613012672515136e-05,4.613012672515136e-05,0.00020400269064510526,0.00020318427915017002,0.00015659461890146222,0.007807488978246144,0.0012297927705606333,0.004983393868052096,0.005281707636265641,0.007807488978246144
687,0.35000000000000014,5,0.09537493987066524,0.09269629370219927,0.0008404474240833997,0.0008106166009764486,0.001027582143406122,4.7738864221638876e-05,4.7738864221638876e-05,0.0001865834960974096,0.0001889991693075072,0.00016470956404639385,0.007484735726623753,0.0012728543783766635,0.004946148978527608,0.005218368531883699,0.007484735726623753
690,0.36000000000000015,3,0.09185182808728315,0.08650522451376584,0.001707068485371515,0.001678272322471888,0.001961262765673907,4.660976056464064e-05,4.660976056464064e-05,0.00018786388153943607,0.00018421200950656343,0.00016954672638569998,0.007038192931808705,0.001202955545406987,0.005407896616169557,0.005275025839839991,0.007038192931808705
695,0.37000000000000016,5,0.08361407548737673,0.08027260809939374,0.001148335829767201,0.0011008361904699087,0.001092295367745886,4.6050808670115024e-05,4.6050808670115024e-05,0.00016939576301077086,0.00016977247959121123,0.00016974637682335266,0.007747566658995935,0.0013267912399738623,0.005506606811396998,0.0050569619082809145,0.007747566658995935
698,0.38000000000000017,3,0.07879023784420151,0.07306772945835621,0.0018877733795825801,0.0018658532105219551,0.0019688817957407524,4.6026127396416735e-05,4.6026127396416735e-05,0.00017437054884071165,0.00017475832876933124,0.00017473145941984537,0.007285343249207688,0.0010568369476169472,0.005329132687824151,0.005205473901714107,0.007285343249207688
703,0.3900000000000002,5,0.06958076511374464,0.06669881041202631,0.0010031418772218483,0.0009728211312808127,0.000905991693215667,4.660572740912447e-05,4.660572740912447e-05,0.0001722794686153838,0.0001757231377959037,0.000180337618139487,0.006984174944081854,0.0011747588459130901,0.005063463146649919,0.005029065171494085,0.006984174944081854
708,0.4000000000000002,5,0.06746211087951336,0.06445027575863328,0.001111440534148308,0.0010679746950662287,0.0008324198916655386,4.280104645863374e-05,4.280104645863374e-05,0.00017021346496713744,0.00017346465669572123,0.00018072290324931236,0.006882777812533306,0.0012007695433058597,0.004854144990760762,0.004968755796992986,0.006882777812533306
711,0.4100000000000002,3,0.07139317730074542,0.06582255171388665,0.0019776774139764553,0.001938312257617536,0.0016546359152647709,4.275875795539469e-05,4.275875795539469e-05,0.0001752122649284434,0.0001770188690237223,0.00018603034259874438,0.0064721481052522414,0.0011826004593262997,0.004798766437822046,0.004743817635233476,0.0064721481052522414
716,0.4200000000000002,5,0.0733642698584582,0.07065296673382489,0.0010095159610820472,0.000976143753813134,0.0007256434097381234,4.741775742264514e-05,4.741775742264514e-05,0.0001738352373735365,0.00017668086197674537,0.0001763361272261951,0.006428822342424041,0.001215189217059153,0.00480304114297446,0.004830406414223291,0.006428822342424041
721,0.4300000000000002,5,0.08116508617167253,0.0781492800247468,0.0011786859387498973,0.0011354861407595754,0.000701634067416264,4.7707077886893735e-05,4.7707077886893735e-05,0.0001647605723948896,0.00016727988785396049,0.000176261973902374,0.006546167468180658,0.001237370033995545,0.004890710927099189,0.004835205529760606,0.006546167468180658
725,0.4400000000000002,4,0.08883216806712513,0.0862616783072256,0.0009621895917694842,0.0009432027508387584,0.0006650974172912886,4.5561415909232665e-05,4.5561415909232665e-05,0.0001736750766928028,0.00017568037871657045,0.00018319744715279373,0.0064055629493901525,0.001262445625199609,0.005083148320482849,0.004896761006853533,0.0064055629493901525
730,0.45000000000000023,5,0.09746036296965604,0.09457289222304227,0.0011603338282833622,0.0011119753387081352,0.0006151615796222778,4.60011846611422e-05,4.60011846611422e-05,0.00016476084030016887,0.00016705124822232083,0.00017653310561853812,0.006808169401748487,0.0012854890121154906,0.00501778863027378,0.004709504363746071,0.006808169401748487
738,0.46000000000000024,8,0.10064888810341557,0.09972573328596751,0.0002963150648701269,0.00029507469773611106,0.00033176505484182274,5.349877359257441e-05,5.349877359257441e-05,0.00020367948116130035,0.00020603691854885052,0.00022172988322660653,0.008136017583992638,0.0013819708227406666,0.005420432485755555,0.005296862586457812,0.008136017583992638
749,0.47000000000000025,11,0.10062116896818284,0.09976334059323912,0.0002819303474469406,0.00028009730303582705,0.0002958007244609529,5.224125235007782e-05,5.224125235007782e-05,0.0002474254125523902,0.00023655902332741922,0.0003027085825846004,0.00878796720268062,0.0016621692434495878,0.006124906965418584,0.0060011056433686505,0.00878796720268062
