n,t,i,p,u,v,w
50,0.02,27,0.10801661649738652,0.0002272666780560113,0.00022915830979495594,0.0002352210771455886
51,0.02,28,0.10790786440087166,0.00022412175361977472,0.00022557112593260355,0.00023179067987688236
52,0.02,29,0.10780329957302803,0.0002212022215574581,0.00022218114342144115,0.00022827590147009582
53,0.02,30,0.10761989757987324,0.00021798212497131075,0.00021893076220057394,0.00022402306666878806
54,0.02,31,0.10741957845362912,0.00021426764876564488,0.00021507084650910238,0.00021925999212046567
55,0.02,32,0.10723264657879862,0.00020934800749791834,0.00020972364929592872,0.00021361392441041578
56,0.02,33,0.10690727999717166,0.00020483144576139526,0.00020457676438296284,0.0002080017315106435
57,0.02,34,0.10662689307529752,0.0002012741898500205,0.00020069761308200257,0.00020361532945586245
58,0.02,35,0.10636867840916375,0.00019740470089159504,0.0001966410552642161,0.0001991180225060371
59,0.02,36,0.10603158156919876,0.00019430157557785688,0.00019364579107363967,0.0001953289959655386
60,0.02,37,0.1057530074634291,0.00019187787736789103,0.00019131530335144345,0.00019262169476255388
61,0.02,38,0.10549149886580504,0.0001894990553169322,0.00018914462955721208,0.00019028745756512005
62,0.02,39,0.10517282763536102,0.0001879220478331863,0.00018772045503766393,0.00018860765331791906
63,0.02,40,0.10487867104443296,0.00018729373328894532,0.00018728070734197523,0.0001879552290031309
64,0.02,41,0.10463697204091316,0.00018641328587550143,0.00018636633154969326,0.00018691701126415062
65,0.02,42,0.10434026536790666,0.0001854059753965552,0.0001855314604832829,0.00018565437426075191
66,0.02,43,0.10403970991773565,0.00018473051449950287,0.00018488269166471946,0.0001848967682517012
67,0.02,44,0.1037983647677411,0.0001835871993322547,0.0001836513086442999,0.00018371950639769344
68,0.02,45,0.10351619659639588,0.0001819912001212409,0.00018189984266618427,0.00018201826157204976
69,0.02,46,0.10321338213848957,0.00018053922254440853,0.0001804423574912336,0.00018051282707527786
70,0.02,47,0.10294109593674163,0.00017918693373279265,0.00017917004340870204,0.0001790038869812488
71,0.02,48,0.10265623950929297,0.0001776117697566677,0.00017750814409234143,0.00017711756487888883
72,0.02,49,0.10236607726496462,0.0001762322213331292,0.00017593184656806374,0.00017539256985889232
73,0.02,50,0.10210284526455973,0.0001748575429099863,0.00017454824340424252,0.00017392578517692677
74,0.02,51,0.10186379256682769,0.0001734100113192886,0.0001732001075237093,0.00017245733666926028
75,0.02,52,0.10159766793666812,0.00017218043094677145,0.00017200996966845964,0.00017127049616784052
76,0.02,53,0.10131505321241699,0.00017125213526869392,0.00017118195782987847,0.0001704584932455064
77,0.02,54,0.10108543260197325,0.0001705663411763537,0.0001705302026225034,0.00016962083258714676
78,0.02,55,0.10085296912773983,0.00016964134904696245,0.00016955074388085034,0.000168548990987485
79,0.02,56,0.10059016194295003,0.000168944992444276,0.00016872237522936595,0.00016791921181812398
80,0.02,57,0.10035005910511474,0.00016856903537054021,0.00016837694599940552,0.00016768613472308022
81,0.02,58,0.1001476502169771,0.00016789847768807506,0.00016781385199356188,0.00016704635067467234
82,0.02,59,0.0999258248366881,0.00016720992953825678,0.00016711680853261519,0.00016631747876119865
83,0.02,1,0.12443255482309917,0.002829985414353577,0.002830206901288442,0.0022148450704805585
84,0.02,2,0.12266902749021653,0.0010571970236399036,0.0010566477921825086,0.0007955773472430141
85,0.02,3,0.12147680577459488,0.0005834098185907444,0.0005844539559635467,0.0004540478154968448
86,0.02,4,0.12099906525804617,0.0004596168705227061,0.00046114810447612587,0.00038896771722146466
87,0.02,5,0.12083036789830937,0.0004181899713449386,0.0004195667592056629,0.00036794186826852576
88,0.02,6,0.12081002221475795,0.00039274383992094446,0.00039391618640618716,0.00034992467912781913
89,0.02,7,0.12086932366940602,0.0003710388239541374,0.00037206974364997254,0.0003323448958128731
90,0.02,8,0.12098368621252979,0.0003516494235629719,0.00035248214951173404,0.0003163677355126877
91,0.02,9,0.12115807973983918,0.00033443270072119885,0.00033510261167188186,0.0003025720656083992
92,0.02,10,0.12138800646181748,0.00031907780250236574,0.0003197629478333454,0.00029070756854111113
93,0.02,11,0.12164977991584588,0.0003052824872909716,0.0003060735948017967,0.0002803696340152438
94,0.02,12,0.1218911871070964,0.0002930806266215579,0.0002939609583358742,0.0002715002152824634
95,0.02,13,0.12206738857943997,0.0002829523547497118,0.00028364612139993885,0.0002644998595857775
96,0.02,14,0.12221824322023393,0.0002751087361881166,0.0002753723812163775,0.00025948774190635805
97,0.02,15,0.12246133423712945,0.0002682043490211279,0.00026803967787755457,0.000255164222179993
98,0.02,16,0.12271296091208579,0.0002609416065507449,0.00026054107517827754,0.00025012779585259433
99,0.02,17,0.12276586373686943,0.00025409535575019555,0.00025364276292326574,0.0002450380929137456
100,0.02,18,0.12262318859749986,0.0002493447273642323,0.0002488083465820325,0.00024182365945012025
101,0.02,19,0.122572961898926,0.000244953439837844,0.0002445449588741294,0.00023912306094854438
102,0.02,20,0.12264470885860383,0.00023837669703230272,0.00023835563000358423,0.00023434253971026892
103,0.02,21,0.12256195297783144,0.00023186994179274148,0.0002322797868004009,0.00022928288343013436
104,0.02,22,0.12230723233739928,0.00022882654671824534,0.00022947729448698402,0.00022732061612024582
105,0.02,23,0.12215291980484239,0.00022806187471925802,0.00022879205622513185,0.00022773615444141105
106,0.02,24,0.12213274882377773,0.00022698351315409196,0.00022755475709113713,0.0002276719788238214
107,0.02,25,0.12203196601664978,0.00022605914444518213,0.0002263889500051523,0.00022698047757042033
108,0.02,26,0.12179437052701544,0.00022720721639896333,0.00022729921165899974,0.00022812372402724232
109,0.02,27,0.12163746116185595,0.0002297575277478034,0.00022979081265832457,0.00023107864626280514
110,0.02,28,0.12161147698667885,0.00023142872625827647,0.00023153549157871686,0.00023325854974737116
111,0.02,29,0.12151689706491217,0.00023223290400187867,0.0002322538133472446,0.00023423172970896085
112,0.02,30,0.12126963815202327,0.00023382602331229024,0.00023366122821604076,0.00023586426227448256
113,0.02,31,0.12106897225219708,0.00023603389885540877,0.00023570260203863364,0.00023826790781029573
114,0.02,32,0.12101994912963046,0.00023674892382452014,0.00023627199550148092,0.00023904565086217753
115,0.02,33,0.12090019661434805,0.00023563608390679775,0.0002351409076615615,0.00023768151620235124
116,0.02,34,0.12057479132154422,0.00023504636533494094,0.00023467518463059106,0.00023676438940134373
117,0.02,35,0.12027561823956934,0.00023545448238990985,0.000235224565676905,0.00023702335988675616
118,0.02,36,0.12016733934050164,0.00023462539605266188,0.00023433344069534513,0.00023611307552459933
119,0.02,37,0.12002953894230022,0.00023178117520474982,0.00023149381786592233,0.0002333122119920299
120,0.02,38,0.11970975404723432,0.00022962670872515213,0.00022944993559056396,0.00023118575850453543
121,0.02,39,0.11942290185554819,0.00022948485861229274,0.00022932051143757947,0.00023110831600777257
122,0.02,40,0.11930791901786868,0.00022895822355890655,0.00022888858083177282,0.00023067778347749261
123,0.02,41,0.1191765805659617,0.00022707881867440555,0.00022720670228882576,0.00022876835269388122
124,0.02,42,0.1188855014879595,0.0002259111313738992,0.00022639616542440415,0.000227591348969397
125,0.02,43,0.11859869674437752,0.00022635169552274583,0.00022732058757713136,0.00022812255923103445
126,0.02,44,0.11847375608933564,0.0002264332116858084,0.00022776383371514078,0.00022841401180772323
127,0.02,45,0.11837315575816874,0.00022496199188828727,0.00022630939974210124,0.00022715548287572423
128,0.02,46,0.11812626579549616,0.0002237381903682048,0.00022491777108026053,0.0002260898153323839
129,0.02,47,0.11784526758469765,0.00022393978018868716,0.00022496783028405604,0.00022652600659144972
130,0.02,48,0.11771511854969086,0.00022418603183298996,0.00022518460467457643,0.0002269154271038608
131,0.02,49,0.11762891244692092,0.00022298032739243836,0.0002240082265040301,0.00022572534153828693
132,0.02,50,0.1173993875266311,0.00022151853072657215,0.00022250863752481848,0.00022408565624211385
133,0.02,51,0.11710206453430863,0.00022137038560236176,0.00022233148719018485,0.00022373825896088872
134,0.02,52,0.1169347652518054,0.000221505816004648,0.00022221415152158503,0.00022366160272605626
135,0.02,53,0.11682837897772098,0.00022027535877224165,0.00022062231875553636,0.0002221317734690827
