t,dt,cost,slope
1.93990,0.02327,67.37419,0.17639
1.96294,0.02304,68.07704,0.23530
1.98575,0.02281,68.73239,0.28945
2.00833,0.02258,69.45503,0.33931
2.03069,0.02236,70.12278,0.38459
2.05283,0.02213,70.86420,0.42445
2.07474,0.02191,71.60129,0.45854
2.09643,0.02169,72.30333,0.48608
2.11791,0.02148,73.08946,0.56796
2.13917,0.02126,73.75994,0.64564
2.16022,0.02105,66.36818,0.66589
2.18106,0.02084,67.01119,0.68390
2.20169,0.02063,67.71801,0.69990
2.22211,0.02042,59.88744,0.65914
2.24233,0.02022,60.49535,0.55954
2.26235,0.02002,69.69041,0.56850
2.28217,0.01982,61.78492,0.46112
2.30179,0.01962,71.15265,0.46129
2.32121,0.01942,71.88916,0.45635
2.34044,0.01923,72.59531,0.44531
2.35947,0.01904,73.32485,0.42780
2.37832,0.01885,74.13578,0.40383
2.39698,0.01866,74.83964,0.37219
2.41545,0.01847,75.53883,0.33228
2.43374,0.01829,76.32632,0.28433
2.45184,0.01810,77.13548,0.27937
2.46976,0.01792,77.92359,0.26833
2.48750,0.01774,69.02387,0.23808
2.50507,0.01757,79.51145,0.26963
2.52246,0.01739,70.36106,0.24127
2.53968,0.01722,71.11064,0.22050
2.55672,0.01704,81.91828,0.27263
2.57359,0.01687,72.56428,0.26278
2.59030,0.01670,73.24670,0.26062
2.60684,0.01654,73.98926,0.26616
2.62321,0.01637,76.81705,0.29333
2.63942,0.01621,80.74837,0.34831
2.65547,0.01605,79.95657,0.39895
2.67135,0.01589,79.54452,0.44895
2.68708,0.01573,80.75066,0.50848
2.70265,0.01557,87.01768,0.55435
2.71806,0.01541,69.28042,0.48104
2.73332,0.01526,82.29187,0.49554
2.74843,0.01511,69.67851,0.36817
2.76339,0.01496,70.40068,0.24530
2.77819,0.01481,71.14391,0.18623
2.79285,0.01466,71.81940,0.07635
2.80737,0.01451,72.50441,0.03103
2.82173,0.01437,73.23268,-0.00512
2.83624,0.01451,72.47137,-0.04190
2.85090,0.01466,71.75241,-0.07824
2.86570,0.01480,82.71322,-0.03756
2.88065,0.01495,81.86813,-0.00131
2.89575,0.01510,81.07181,0.03151
2.91070,0.01495,81.94258,0.07291
2.92550,0.01480,82.70487,0.12231
2.94015,0.01465,83.67091,0.18090
2.95466,0.01451,72.53343,0.10371
2.96902,0.01436,85.28013,0.17951
2.98323,0.01422,74.11191,0.11759
2.99731,0.01407,74.85392,0.06396
3.01124,0.01393,75.50709,0.08741
3.02504,0.01379,76.31145,0.05439
3.03869,0.01366,77.02085,0.02899
3.05221,0.01352,77.86488,0.01248
3.06560,0.01338,78.67739,0.01898
3.07885,0.01325,79.45338,0.05678
3.09197,0.01312,80.25189,0.09484
3.10495,0.01299,81.05349,0.13510
3.11781,0.01286,81.91681,0.18858
3.13054,0.01273,82.63064,0.28937
3.14314,0.01260,83.44834,0.27506
3.15561,0.01248,84.31757,0.34978
3.16797,0.01235,85.25973,0.34270
3.18019,0.01223,86.03147,0.33864
3.19230,0.01210,86.97581,0.33884
3.20428,0.01198,87.77503,0.34182
3.21614,0.01186,88.64680,0.34804
3.22789,0.01175,89.59302,0.35821
3.23952,0.01163,90.46620,0.36148
3.25103,0.01151,91.51604,0.35856
3.26242,0.01140,92.31698,0.42761
3.27371,0.01128,93.23031,0.49245
3.28488,0.01117,94.16529,0.55277
3.29593,0.01106,95.13297,0.61952
3.30688,0.01095,96.15375,0.69224
3.31772,0.01084,97.12775,0.77192
3.32845,0.01073,98.05452,0.77478
3.33907,0.01062,99.09983,0.86094
3.34959,0.01052,100.07031,0.87019
3.36000,0.01041,101.21155,0.88037
3.37030,0.01031,101.95203,0.88810
3.38051,0.01020,103.01954,0.89651
3.39061,0.01010,104.08114,0.90477
3.40061,0.01000,105.04197,0.91301
3.41051,0.00990,106.11884,0.92171
3.42031,0.00980,107.46124,0.93221
3.43002,0.00970,108.31400,0.94126
3.43962,0.00961,109.42306,0.95050
3.44913,0.00951,110.64505,0.96096
3.45855,0.00942,111.72065,0.97050
3.46787,0.00932,112.85702,0.98007
3.47710,0.00923,114.00796,0.98998
3.48623,0.00914,115.04111,0.99983
3.49528,0.00904,116.26411,1.00965
3.50423,0.00895,117.50673,1.02055
3.51309,0.00886,118.57993,1.03029
3.52187,0.00878,119.78722,1.04014
3.53056,0.00869,121.01368,1.05056
3.53916,0.00860,122.26391,1.06109
3.54767,0.00852,123.59103,1.07328
3.55610,0.00843,124.69458,1.08384
3.56445,0.00835,126.01540,1.09481
3.57271,0.00826,127.27390,1.10577
3.58089,0.00818,128.79394,1.11847
3.58899,0.00810,129.74785,1.12939
3.59701,0.00802,131.20160,1.14146
3.60494,0.00794,132.40825,1.15254
3.61280,0.00786,133.84766,1.16483
3.62058,0.00778,135.17075,1.17690
3.62828,0.00770,136.48540,1.18969
3.63590,0.00762,137.96245,1.20143
3.64345,0.00755,139.40156,1.21380
3.65092,0.00747,140.70261,1.22569
3.65832,0.00740,142.18628,1.23748
3.66564,0.00732,143.50733,1.24870
3.67289,0.00725,145.15394,1.26316
3.68007,0.00718,146.49534,1.27539
3.68718,0.00711,149.70423,1.29898
3.69421,0.00703,154.11187,1.34151
3.70118,0.00696,154.67450,1.37575
3.70807,0.00689,168.48945,1.48784
3.71490,0.00683,158.29619,1.51735
3.72165,0.00676,159.35982,1.54115
3.72834,0.00669,157.23626,1.53996
3.73497,0.00662,158.90073,1.53985
3.74152,0.00656,160.31716,1.53786
3.74802,0.00649,162.05158,1.53682
3.75444,0.00643,163.60990,1.53548
3.76080,0.00636,165.37151,1.53518
3.76710,0.00630,167.13162,1.53621
3.77334,0.00624,168.67258,1.53541
3.77951,0.00617,170.35596,1.53502
3.78562,0.00611,172.11710,1.53494
3.79167,0.00605,173.78440,1.53615
3.79766,0.00599,175.52925,1.53517
3.80359,0.00593,177.28572,1.53519
3.80946,0.00587,178.93029,1.53363
3.81528,0.00581,181.04790,1.53496
3.82103,0.00575,182.76775,1.53551
3.82673,0.00570,184.71767,1.53653
3.83237,0.00564,186.65899,1.53880
3.83795,0.00558,188.46526,1.54098
3.84348,0.00553,190.24264,1.54177
3.84895,0.00547,192.04832,1.54240
3.85436,0.00542,194.32929,1.54467
3.85973,0.00536,196.00786,1.54651
3.86504,0.00531,197.96232,1.54759
3.87029,0.00526,200.12337,1.56184
3.87550,0.00520,168.83160,1.38217
3.88065,0.00515,204.18675,1.42793
3.88575,0.00510,206.31804,1.56068
3.89080,0.00505,174.01207,1.39788
3.89580,0.00500,210.55473,1.47119
3.90074,0.00495,177.67287,1.29492
3.90564,0.00490,214.53907,1.35889
3.91049,0.00485,181.05106,1.19183
3.91530,0.00480,182.92692,1.03960
3.92005,0.00475,185.07900,0.90271
3.92476,0.00471,186.77931,0.77939
3.92941,0.00466,188.83881,0.67197
3.93403,0.00461,190.63298,0.57709
3.93859,0.00457,192.55901,0.49648
3.94311,0.00452,194.64412,0.43159
3.94759,0.00448,196.38210,0.37938
3.95202,0.00443,198.56249,0.34323
3.95641,0.00439,200.49057,0.32137
3.96075,0.00434,202.40105,0.31286
3.96505,0.00430,204.74616,0.32364
3.96930,0.00426,206.79389,0.34895
3.97352,0.00421,208.59191,0.38861
3.97769,0.00417,210.87372,0.44577
3.98182,0.00413,213.01631,0.51843
3.98591,0.00409,214.98056,0.60509
3.98995,0.00405,217.21165,0.70760
3.99396,0.00401,219.36183,0.82851
3.99793,0.00397,221.59805,0.96429
4.00186,0.00393,223.95301,1.11735
4.00574,0.00389,226.09899,1.28760
4.00959,0.00385,228.60428,1.24665
4.01340,0.00381,230.51410,1.43525
4.01718,0.00377,232.96807,1.64267
4.02091,0.00373,235.48053,1.63165
4.02461,0.00370,237.82967,1.86044
4.02827,0.00366,240.19059,1.86557
4.03189,0.00362,242.46501,2.11179
4.03548,0.00359,244.93724,2.13060
4.03903,0.00355,247.50010,2.15044
4.04255,0.00352,250.09815,2.17316
4.04603,0.00348,252.54106,2.19444
4.04948,0.00345,205.13730,1.89483
4.05289,0.00341,257.62840,1.93899
4.05627,0.00338,260.33078,1.98407
4.05961,0.00334,211.33628,1.69727
4.06292,0.00331,265.57507,1.76496
4.06620,0.00328,215.78904,1.49571
4.06944,0.00324,271.21761,1.58968
4.07265,0.00321,227.14603,1.38104
4.07583,0.00318,281.73238,1.52972
4.07898,0.00315,236.06000,1.36361
4.08210,0.00312,314.43759,1.70255
4.08518,0.00309,241.75959,1.54123
4.08824,0.00305,229.70463,1.30318
4.09126,0.00302,289.04029,1.45405
4.09426,0.00299,235.08980,1.23930
4.09722,0.00296,237.55466,1.04732
4.10016,0.00293,300.13892,1.26643
4.10306,0.00291,247.31083,1.12602
4.10594,0.00288,249.78345,1.00596
4.10878,0.00285,253.73851,0.91817
4.11160,0.00282,319.08518,1.25395
4.11439,0.00279,257.41153,1.16935
4.11716,0.00276,261.76433,1.11928
4.11989,0.00274,257.06469,1.04341
4.12260,0.00271,325.25394,1.41518
4.12528,0.00268,262.50133,1.35994
4.12793,0.00265,281.05127,1.43251
4.13056,0.00263,363.98096,2.04172
4.13316,0.00260,272.56864,2.02726
4.13574,0.00257,277.87075,2.05386
4.13829,0.00255,350.45357,2.21054
4.14081,0.00252,308.94872,2.39680
4.14331,0.00250,302.98772,2.54040
4.14578,0.00247,356.82652,2.67448
4.14823,0.00245,299.45603,2.74775
4.15065,0.00242,293.03830,2.42119
4.15305,0.00240,367.11942,2.92047
4.15543,0.00238,298.95931,2.63339
4.15778,0.00235,301.58163,2.70774
4.16011,0.00233,378.29044,2.95316
4.16242,0.00231,311.05546,3.24207
4.16470,0.00228,333.56310,3.17646
4.16696,0.00226,419.01258,3.53816
4.16920,0.00224,404.56413,4.13162
4.17141,0.00221,319.93559,3.75562
4.17360,0.00219,406.40832,3.91675
4.17577,0.00217,335.17086,3.97477
4.17792,0.00215,334.38668,3.64782
4.18005,0.00213,333.94421,3.29631
4.18216,0.00211,336.10511,2.94858
4.18424,0.00209,344.88001,3.07149
4.18631,0.00206,343.21483,2.74683
4.18835,0.00204,351.93697,2.47029
4.19037,0.00202,360.20182,2.17454
4.19237,0.00200,363.23711,2.32275
4.19436,0.00198,357.60127,1.98493
4.19632,0.00196,368.60183,1.80369
4.19826,0.00194,364.64730,2.12991
4.20019,0.00192,368.14300,1.84796
4.20209,0.00190,372.38091,1.58740
4.20398,0.00189,375.90908,1.80811
4.20585,0.00187,379.62660,1.75525
4.20769,0.00185,383.85401,1.65710
4.20952,0.00183,387.20052,1.91586
4.21133,0.00181,391.59238,1.79378
4.21313,0.00179,395.29336,1.61032
4.21490,0.00178,399.27296,1.91795
4.21666,0.00176,403.43214,1.76804
4.21840,0.00174,407.37681,1.61517
4.22012,0.00172,411.42249,1.97036
4.22183,0.00171,415.64911,1.87439
4.22352,0.00169,419.64861,1.91290
4.22519,0.00167,424.52839,2.53391
4.22684,0.00165,428.39101,3.07773
4.22848,0.00164,538.27368,3.73623
4.23010,0.00162,437.81063,4.24580
4.23171,0.00161,441.82494,4.27600
4.23330,0.00159,554.79983,4.98221
4.23487,0.00157,559.77234,5.61938
4.23643,0.00156,565.69978,6.20921
4.23797,0.00154,573.59819,6.80836
4.23950,0.00153,691.44774,8.05458
4.24101,0.00151,698.58854,9.25208
4.24251,0.00150,705.77645,10.39871
4.24399,0.00148,713.72040,11.46377
4.24545,0.00147,720.83844,12.37994
4.24691,0.00145,727.08494,13.25066
4.24834,0.00144,734.04995,13.97954
4.24977,0.00142,742.44285,14.62231
4.25118,0.00141,750.56487,15.18017
4.25257,0.00139,756.98659,15.63552
4.25395,0.00138,764.11587,15.99295
4.25532,0.00137,771.07584,16.25336
4.25667,0.00135,779.34976,16.41795
4.25801,0.00134,786.89135,16.48699
4.25934,0.00133,816.55614,16.59706
4.26065,0.00131,822.85116,16.58775
4.26195,0.00130,810.88710,16.34148
4.26324,0.00129,817.38247,15.98302
4.26451,0.00127,826.30510,15.52760
4.26577,0.00126,834.12015,14.96715
4.26702,0.00125,845.64550,14.32245
4.26826,0.00124,850.43768,13.55277
4.26948,0.00122,859.54121,12.67897
