n,t,i,p,u,v,w
25,0.01,2,0.061257684889499946,0.000815677302023363,0.0008156405187510225,0.0003551150141502583
26,0.01,1,0.07775165793172718,0.005292067746767047,0.005292836272243894,0.001780028630548319
27,0.01,2,0.07909297547433686,0.0012207937679344142,0.0012212084078297876,0.0006361394284682576
28,0.01,1,0.07899281393214246,1.4310353705120879e-06,1.4306584756436747e-06,8.138516254742385e-07
29,0.02,1,0.07885214568242759,6.664655012069289e-07,6.660943753024042e-07,3.977179030441354e-07
30,0.02,1,0.09650819724260969,0.004865436909806023,0.0048665066240355225,0.0017463411921793766
31,0.02,2,0.0961222894602906,0.0011922417646378894,0.0011915456242870776,0.0006644639582466357
32,0.02,1,0.10825078628523167,0.0030862042326787265,0.003086388731992889,0.0013340431346456883
33,0.02,2,0.10789112018968568,0.0008622054769845099,0.0008600403695517417,0.0006248206750002741
34,0.02,3,0.10763007742632068,0.0004137207990895187,0.00041158163697517383,0.00036820964199401815
35,0.02,4,0.10752203065842976,0.0002759860494600832,0.0002747186859283275,0.000249279231650462
36,0.02,5,0.10754790153206592,0.00022244278453078002,0.0002220796640255939,0.0001999321812771169
37,0.02,6,0.10768700608800891,0.00020436032429449035,0.00020468628126505138,0.0001835870709048194
38,0.02,7,0.10786189264929845,0.0001971255714753311,0.00019795864641494753,0.00017701638142693444
39,0.02,8,0.10801312323393232,0.00019124557445739383,0.00019238129824138218,0.00017097485356549482
40,0.02,9,0.10815820332036989,0.0001844528426377564,0.00018584661701358582,0.00016397337412242906
41,0.02,10,0.10825264981079269,0.0001771912699170402,0.0001788457179239781,0.00015708536987394468
42,0.02,11,0.10824805133438349,0.0001700045572517407,0.00017176163773737727,0.00015121038562756909
43,0.02,12,0.10817111124910224,0.00016335601134392807,0.00016498306553076203,0.0001465289489147278
44,0.02,13,0.10806909244569401,0.00015739098062931872,0.00015878510599404968,0.0001428783919328504
45,0.02,14,0.10793620122193756,0.0001526307658792081,0.00015375603039116534,0.00014030259281334437
46,0.02,15,0.10778759516865333,0.00014903542693025571,0.0001499582785975182,0.00013847866708296616
47,0.02,16,0.10769321697048743,0.00014626132018264693,0.00014701575065303223,0.00013723957655032603
48,0.02,17,0.10768488406470454,0.00014350687297071162,0.0001441446582345819,0.00013590492294403707
49,0.02,18,0.10775401484076316,0.000140345139225709,0.00014072105125616035,0.00013405324131328874
50,0.02,19,0.10790606969258136,0.0001365648606099834,0.00013686205162326672,0.00013145705385828822
51,0.02,20,0.10815127332726299,0.00013238075841803435,0.0001327942243585966,0.00012844651621681853
52,0.02,21,0.10833101239531052,0.00012796071842350936,0.00012834486508712923,0.00012509877897059463
53,0.02,22,0.10826821505477181,0.00012408587874400718,0.0001243994659133362,0.00012230306203844533
54,0.02,23,0.1080357879974627,0.00012073177965663699,0.00012086500927993628,0.00011973396291586048
55,0.02,24,0.10788577224135948,0.00011618029354103226,0.00011615086549207252,0.00011591715092323799
56,0.02,25,0.10784692672665123,0.00011102732710512365,0.0001108836854570908,0.00011136273578535373
57,0.02,26,0.10784686100962212,0.00010617909544662099,0.00010610382227947727,0.0001070324655682148
58,0.02,27,0.10788024000643778,0.00010204461618470664,0.00010193527723388206,0.00010324025534695763
59,0.02,28,0.10788677375010962,9.877823578389086e-05,9.85778156742638e-05,0.00010009148277663451
60,0.02,29,0.10793437596073392,9.62532181410647e-05,9.589204373841962e-05,9.761101959159064e-05
61,0.02,30,0.10802006822744889,9.355274864414077e-05,9.329227664846356e-05,9.498231646504936e-05
62,0.02,31,0.10798142407474136,9.135772539640771e-05,9.116168608084471e-05,9.269890481015719e-05
63,0.02,32,0.1079507124830007,8.915348831477775e-05,8.898024294402242e-05,9.03779263380596e-05
64,0.02,33,0.10796081420926423,8.649504756889879e-05,8.627866110856868e-05,8.745526171711403e-05
65,0.02,34,0.10778786294818433,8.415572101630745e-05,8.389874537595103e-05,8.47382141287207e-05
66,0.02,35,0.10761197515800701,8.205843629621585e-05,8.191996183688492e-05,8.259488661340234e-05
67,0.02,36,0.10756058990186497,7.968887981189154e-05,7.957320377367249e-05,8.019332545671771e-05
68,0.02,37,0.10740617692610237,7.778577984815449e-05,7.76430256283609e-05,7.826301571817228e-05
69,0.02,38,0.10720783004231074,7.661029539641956e-05,7.653839968679414e-05,7.712780974271079e-05
70,0.02,39,0.10715615097283769,7.516600874194569e-05,7.503205521001013e-05,7.567713132253629e-05
71,0.02,40,0.10698731315448896,7.373718998470928e-05,7.36175361632392e-05,7.426419747737685e-05
72,0.02,41,0.10673131691303708,7.311816648642843e-05,7.317546037242682e-05,7.356603590279851e-05
73,0.02,42,0.10666246840237964,7.228430544630868e-05,7.228902135817745e-05,7.265537987883136e-05
74,0.02,43,0.10651188982358138,7.132870136171025e-05,7.124062964076813e-05,7.154276827130679e-05
75,0.02,44,0.10626250922454004,7.11209112532166e-05,7.120198348397542e-05,7.130584410291863e-05
76,0.02,45,0.10617989627516719,7.073701797744927e-05,7.085952045892744e-05,7.090162068087458e-05
77,0.02,46,0.10606384787335958,7.005566907044989e-05,7.008140992845233e-05,7.014301204930002e-05
78,0.02,47,0.10579979724487514,7.001770934991429e-05,7.005416466795874e-05,7.001198454789024e-05
79,0.02,48,0.10568610380886068,7.002501564615306e-05,6.999100953937847e-05,6.998423062736761e-05
80,0.02,49,0.1056191346518694,6.955966209489335e-05,6.945150372457095e-05,6.937953337221028e-05
81,0.02,50,0.10537315983290808,6.951435238138056e-05,6.933828274023324e-05,6.927326140278753e-05
82,0.02,51,0.10520890594090031,6.971914652445109e-05,6.958666987926371e-05,6.947595061387265e-05
83,0.02,52,0.10517272477668618,6.939374698205983e-05,6.927468264860433e-05,6.90964226104038e-05
84,0.02,53,0.10498087581785852,6.918039428758061e-05,6.909520055731136e-05,6.888355489687694e-05
