pseudo-steps, tcurr,n,res,res_p,res_u,res_v,res_w,min,min_p,min_u,min_v,min_w,max,max_p,max_u,max_v,max_w
224,0.11999999999999998,12,0.09805999082282586,0.09805918457127907,2.2571933307929594e-07,2.2504870672776966e-07,3.5548350697121096e-07,4.7110024245785976e-05,4.7110024245785976e-05,0.0004835361579512837,0.0004931631784316618,0.00047302433094584154,0.012307805315231162,0.001278672388226985,0.010512931863953596,0.010396546439694277,0.012307805315231162
232,0.12999999999999998,8,0.09775954127719229,0.09775843321393705,3.4139158119849024e-07,3.4108523035710517e-07,4.2558644368401463e-07,4.201427679719049e-05,4.201427679719049e-05,0.00041936110661951344,0.0004141925030879937,0.00040146036185547497,0.012428437197656399,0.0013004398437220766,0.009805206707665147,0.010459773789273813,0.012428437197656399
239,0.13999999999999999,7,0.09799395542948017,0.09799230911576673,5.648483942797163e-07,5.657744645768041e-07,5.156908545807209e-07,3.751081351973707e-05,3.751081351973707e-05,0.0003744102592499473,0.00036260246860973533,0.00036709255833301867,0.011881155619677054,0.0012332197012043112,0.010139838251003877,0.009924568766870763,0.011881155619677054
246,0.15,7,0.09751163907598959,0.0975098817958015,6.235034206362024e-07,6.244982303425932e-07,5.092785371216852e-07,3.66608025586919e-05,3.66608025586919e-05,0.00035780735315898656,0.0003426959651192804,0.0003399010055446455,0.01188529917665681,0.0011347373317952543,0.01052609071398415,0.010063014791237918,0.01188529917665681
252,0.16,6,0.09551085522355145,0.09550845767139712,8.896682836075532e-07,8.906653567433022e-07,6.172185139605796e-07,3.6324344359963965e-05,3.6324344359963965e-05,0.00033605414091691867,0.0003218614629830775,0.0003268181954611511,0.01171188584330514,0.0010340940392671884,0.010962542288767268,0.01019935929402308,0.01171188584330514
258,0.17,6,0.09137351600818432,0.09137102879565787,9.416908996164933e-07,9.441233391110411e-07,6.013982877301319e-07,3.516034049593997e-05,3.516034049593997e-05,0.00031562343431558367,0.0003022936126999608,0.0003270480027836174,0.011184937179627628,0.0010158845790381003,0.010611250563933944,0.01031950254698942,0.011184937179627628
264,0.18000000000000002,6,0.08490386723024934,0.08490127522676455,1.0014696892401194e-06,1.0057320087861042e-06,5.848017867540465e-07,3.403363682327075e-05,3.403363682327075e-05,0.00030177955027930645,0.00028391540705821757,0.00033999826221220355,0.01164039084121209,0.0010400904219197721,0.009789332061510777,0.010005063787653031,0.01164039084121209
270,0.19000000000000003,6,0.07752683002386898,0.07752407438976833,1.0789300307773548e-06,1.0855105487870907e-06,5.911935210905162e-07,3.491387629129245e-05,3.491387629129245e-05,0.00029495123077466164,0.0002751200887474499,0.0003269744070890671,0.01179728414765443,0.0011251652173694454,0.009590821080298477,0.009980917088167115,0.01179728414765443
276,0.20000000000000004,6,0.07223027431889852,0.07222733036719753,1.1572302489500831e-06,1.166236186967993e-06,6.204852650731042e-07,3.482961347232523e-05,3.482961347232523e-05,0.0002879503884952688,0.0002744561007663115,0.0003164965999876645,0.01215356848896933,0.0010891096000207965,0.009452766591431684,0.009940660063489863,0.01215356848896933
282,0.21000000000000005,6,0.07234993154597502,0.0723468084188718,1.2256544611897359e-06,1.2361780957506893e-06,6.612945462907341e-07,3.562487835020251e-05,3.562487835020251e-05,0.00027890023110707044,0.0002737937152855253,0.00030635455140213955,0.011588909920096924,0.0010315113637175217,0.009599140945101043,0.00991666879903226,0.011588909920096924
289,0.22000000000000006,7,0.07863459865859893,0.07863221534822053,9.359872595371944e-07,9.450785164568338e-07,5.022446024066762e-07,3.694756769993263e-05,3.694756769993263e-05,0.00027548389356332926,0.00027601716381078605,0.0002994124271925201,0.012091320667920149,0.0010708042789460842,0.009784869965952623,0.009784973344144222,0.012091320667920149
295,0.23000000000000007,6,0.08918375983358358,0.0891805089209555,1.2615664668303164e-06,1.2702119178511822e-06,7.191342433935033e-07,3.576359281127887e-05,3.576359281127887e-05,0.0002790954162006441,0.0002835372626802061,0.00029304885147818697,0.01171239316399589,0.0011328032052159843,0.009928784901013815,0.01006017489762875,0.01171239316399589
308,0.24000000000000007,13,0.09971233286023945,0.0997090423155975,1.2716062471904627e-06,1.2798476978662243e-06,7.390906968912886e-07,4.564973773084447e-05,4.564973773084447e-05,0.0003553191746634332,0.0003667963600609363,0.00037479499052346004,0.014950063610405401,0.0015388589659306874,0.011147795553044154,0.010990641958225382,0.014950063610405401
325,0.25000000000000006,17,0.09734072610494394,0.09733979143264432,3.459254704807284e-07,3.4757662335547344e-07,2.4117020579878503e-07,5.1826890490908146e-05,5.1826890490908146e-05,0.00038244245737048847,0.00041496312351645197,0.0004086461855203964,0.013939257687593644,0.0013819882347482601,0.011054233518425957,0.01147823778525317,0.013939257687593644
332,0.26000000000000006,7,0.09736168464938028,0.09735981151065899,6.53114084727036e-07,6.544502915120463e-07,5.655743450363105e-07,4.644522005200324e-05,4.644522005200324e-05,0.00034134207318718994,0.00036031601383877763,0.0003540069122502637,0.012541623173851685,0.001197205321093118,0.010373580157059437,0.009583179066912358,0.012541623173851685
338,0.2700000000000001,6,0.0964705975572887,0.0964678700952014,9.40903660704528e-07,9.446179540350408e-07,8.419404725595794e-07,4.2325852743598165e-05,4.2325852743598165e-05,0.0003205898820999122,0.00032835849471322736,0.00032649315188410953,0.01170983287773565,0.0011155315177062749,0.009742909241902617,0.009067995869960847,0.01170983287773565
344,0.2800000000000001,6,0.09408654204121898,0.09408378417401503,9.252942486021778e-07,9.318947540019883e-07,9.006782013573883e-07,4.049889328099259e-05,4.049889328099259e-05,0.00031474650493946077,0.0003083956516807396,0.0003066437140069597,0.011693224767659842,0.001047711799488806,0.009166450050814021,0.009046110735007313,0.011693224767659842
350,0.2900000000000001,6,0.08968045535189167,0.08967775303365726,8.684998936678471e-07,8.737625403225342e-07,9.60055800423059e-07,3.920111711741981e-05,3.920111711741981e-05,0.00029561121477857094,0.00028964646722068446,0.0002932862561074305,0.011665003779720266,0.0010255745880465355,0.009069310766902169,0.008661057842439777,0.011665003779720266
356,0.3000000000000001,6,0.08280629976194855,0.08280362123414133,8.150777853185794e-07,8.170130440637226e-07,1.0464369778335713e-06,4.03036452439271e-05,4.03036452439271e-05,0.0002776392713865736,0.0002800993580079531,0.00028099122632700734,0.011918372928868694,0.0010130014358826422,0.00877868713796356,0.008628448084018941,0.011918372928868694
362,0.3100000000000001,6,0.07343932451119996,0.07343655856064558,8.023411484586001e-07,8.024471493315653e-07,1.1611622565835594e-06,3.978232694540115e-05,3.978232694540115e-05,0.00027696920348956185,0.00027112364927110814,0.000276914115825255,0.012387831153799177,0.000980540076802233,0.008521044987973672,0.008322429041307778,0.012387831153799177
368,0.3200000000000001,6,0.0624453382599937,0.062442381485667914,8.311592021551391e-07,8.306417211642581e-07,1.2949734024652226e-06,3.850751295769567e-05,3.850751295769567e-05,0.0002632922824532761,0.0002638129130100545,0.0002626778143891149,0.01235793376958437,0.001055802107483575,0.008943404477883252,0.00830576933842053,0.01235793376958437
375,0.3300000000000001,7,0.05075781840786139,0.05075551968401327,6.274062115554896e-07,6.266346243752934e-07,1.0446830121901038e-06,3.9956400397668554e-05,3.9956400397668554e-05,0.0002727245361174775,0.0002657277024418498,0.0002664062853135546,0.011547478314446712,0.0011787286778703475,0.00936916219253096,0.008671628371826076,0.011547478314446712
382,0.34000000000000014,7,0.04048981902790005,0.04048738796740197,6.501844133180678e-07,6.490066239348244e-07,1.1318694608225783e-06,4.14784422373298e-05,4.14784422373298e-05,0.0002814098564000073,0.0002779550439748931,0.00026544705713671727,0.011402998078221692,0.0011496794563274437,0.010023794084449901,0.009138082416790672,0.011402998078221692
389,0.35000000000000014,7,0.034095415791942425,0.03409286700240901,6.750583764117534e-07,6.741275364123573e-07,1.1996036205889423e-06,4.1750633337438265e-05,4.1750633337438265e-05,0.000290757293371337,0.0002894722244533647,0.0002673737074053006,0.011401518789884274,0.0011595656878178363,0.01085680160607622,0.009869126275327808,0.011401518789884274
396,0.36000000000000015,7,0.033533615141100634,0.03353077379423039,7.396103689640618e-07,7.38805094048968e-07,1.362931407234136e-06,3.959253003362305e-05,3.959253003362305e-05,0.0002881909262889644,0.0002896134119235996,0.00026131490567149636,0.011285025011470457,0.0011679819707782592,0.010610781872001354,0.010525377778564438,0.011285025011470457
403,0.37000000000000016,7,0.03833465990442981,0.03833164379805447,7.807301806740715e-07,7.795989146402708e-07,1.4557772800284822e-06,3.889992987264852e-05,3.889992987264852e-05,0.0002816603975364891,0.0002849635700141722,0.00025654961389840115,0.01105624194859001,0.0011415150034078433,0.010062307236204755,0.010286868249139984,0.01105624194859001
410,0.38000000000000017,7,0.046537219093279805,0.04653407356066084,8.103534869042642e-07,8.098812389016802e-07,1.5252978931624596e-06,4.124711537975382e-05,4.124711537975382e-05,0.00027527785333833715,0.000281514939536794,0.00025193241072435466,0.011290786258412382,0.0012303540557110969,0.010072886371143362,0.010053763446920867,0.011290786258412382
417,0.3900000000000002,7,0.05638557849260412,0.05638239103208261,8.21596611919146e-07,8.214776127339444e-07,1.5443862968605768e-06,4.085028181896426e-05,4.085028181896426e-05,0.0002725825834375889,0.00027909047523586624,0.0002488141287684845,0.011372755377397393,0.0012024737104135857,0.010337635491975042,0.010033722047346195,0.011372755377397393
424,0.4000000000000002,7,0.06635464153265239,0.06635145982913514,8.199453625620165e-07,8.205966525815329e-07,1.5411615020914974e-06,3.904416423153428e-05,3.904416423153428e-05,0.0002664057463612604,0.00027925591975638884,0.000246295149568996,0.011436659300307352,0.0011199943076491245,0.01010338028247805,0.00933836180330141,0.011436659300307352
431,0.4100000000000002,7,0.07504687080411153,0.07504376803051162,8.054600248267227e-07,8.065464856748479e-07,1.4907670894077194e-06,3.6248439970092764e-05,3.6248439970092764e-05,0.000266474953221033,0.0002748855680400476,0.00024495212256064734,0.011053345999571711,0.0011682887573510954,0.00987443339549051,0.009449273431102148,0.011053345999571711
438,0.4200000000000002,7,0.08145165017083826,0.08144864287414513,7.897400373114737e-07,7.922768978662589e-07,1.4252797579499414e-06,3.437474676344487e-05,3.437474676344487e-05,0.0002709640458744787,0.0002783760406729591,0.0002494237357266319,0.010857743615669763,0.0012499181564175426,0.009760405460461603,0.00939224465776838,0.010857743615669763
445,0.4300000000000002,7,0.08511280258179557,0.08510990050572244,7.848246908829643e-07,7.883314008260435e-07,1.328919981419762e-06,3.462424327622845e-05,3.462424327622845e-05,0.0002730223560319324,0.00027448047521780935,0.0002497126205555591,0.011103938261038587,0.0011842718974112937,0.009831247789642878,0.009849775316819347,0.011103938261038587
452,0.4400000000000002,7,0.08631274438662283,0.08630969701828704,8.473198466864464e-07,8.521382319840085e-07,1.3479102571038832e-06,3.401673511953772e-05,3.401673511953772e-05,0.00026683555352189324,0.00026477019156851973,0.0002396178845015736,0.01118453213110716,0.0010573311190121635,0.009902604301931005,0.010224978538187015,0.01118453213110716
459,0.45000000000000023,7,0.08528852986924684,0.08528568901477447,8.392949014367228e-07,8.454379302717351e-07,1.1561216406603536e-06,3.531251986454271e-05,3.531251986454271e-05,0.00027317251330383343,0.00026669192905621623,0.0002561912467593475,0.011041495877668102,0.0010778860234801127,0.009678207083909986,0.010520261670324618,0.011041495877668102
465,0.46000000000000024,6,0.08297831183092921,0.08297439021776878,1.2455599835405876e-06,1.2552945707930101e-06,1.420758606097105e-06,3.6437325482542364e-05,3.6437325482542364e-05,0.00026441877344607383,0.0002660482819987944,0.0002549396232963316,0.010702802281288695,0.0010781050764856535,0.00980349950474349,0.010183142709182457,0.010702802281288695
471,0.47000000000000025,6,0.07970393572617354,0.0796998418408255,1.3424681795922934e-06,1.3534106011836825e-06,1.3980065672613075e-06,3.861767049350901e-05,3.861767049350901e-05,0.0002561798601347322,0.00026252495925486996,0.00025576703103586177,0.010397815480341736,0.001140596421637909,0.010387769720396211,0.01005738241797252,0.010397815480341736
477,0.48000000000000026,6,0.0753487971843699,0.07534464926877413,1.4035302221063563e-06,1.415436661391028e-06,1.328948712276186e-06,3.869137938485805e-05,3.869137938485805e-05,0.00025556648831089426,0.0002618913689616722,0.0002629604573024052,0.010577378876730199,0.00112617365659143,0.010068133364602726,0.00981386976998686,0.010577378876730199
483,0.49000000000000027,6,0.06972736390836629,0.0697231418149966,1.4674533711992165e-06,1.4806293324850504e-06,1.274010666000328e-06,3.8597999759247357e-05,3.8597999759247357e-05,0.0002565583672247196,0.00026320179970988183,0.0002703561980785344,0.011009673229797349,0.0011734519009109132,0.009467839939537093,0.010089884033021267,0.011009673229797349
490,0.5000000000000002,7,0.062334373167770664,0.06233125499687167,1.1056593208014783e-06,1.1175817427349768e-06,8.949298354603506e-07,4.005428635674313e-05,4.005428635674313e-05,0.00026042191298797867,0.0002785028592579932,0.0002845054390439547,0.011089582911652589,0.0012181516954930256,0.00968080020407734,0.010163117761780149,0.011089582911652589
497,0.5100000000000002,7,0.053493950111518834,0.05349087255589663,1.1202266831356636e-06,1.1330013115336445e-06,8.24327627535421e-07,3.952118232948305e-05,3.952118232948305e-05,0.00027861782913215377,0.0002835137282738642,0.00029638093773016685,0.011512013586286448,0.0012240124385188467,0.009338452338321281,0.009388356727606944,0.011512013586286448
504,0.5200000000000002,7,0.0444472261398409,0.04444402352400843,1.1855813754807058e-06,1.19962112245915e-06,8.174133345249056e-07,4.0000091253006314e-05,4.0000091253006314e-05,0.00027871572417512326,0.0002770891868142991,0.0002896648198410432,0.011287178035494698,0.0011892069661829426,0.009471172331044877,0.00948903488926002,0.011287178035494698
511,0.5300000000000002,7,0.03705226889860855,0.03704893227098394,1.2448383335429193e-06,1.260495652992701e-06,8.312936380679735e-07,3.8090308544142516e-05,3.8090308544142516e-05,0.0002725922455737854,0.00027081022819199906,0.00028983150363909635,0.010445521297001222,0.0011988917767004532,0.00943651251038628,0.009671240849933621,0.010445521297001222
518,0.5400000000000003,7,0.033347575236375125,0.033344117925897504,1.290847244345896e-06,1.307222853477099e-06,8.592403797967862e-07,3.764947528216116e-05,3.764947528216116e-05,0.0002691191232971046,0.0002646735534380585,0.00028326379870729563,0.010521914596351028,0.0012088388155146045,0.00966622510247606,0.009741436010437742,0.010521914596351028
525,0.5500000000000003,7,0.03410336666157861,0.034099815820368806,1.317715226825491e-06,1.3346029504157208e-06,8.985230325635153e-07,3.741351364780846e-05,3.741351364780846e-05,0.00026479212877411585,0.0002607221026905287,0.0002778073141809711,0.010821697513270235,0.001207665789687051,0.009364857517276358,0.009864604195887573,0.010821697513270235
532,0.5600000000000003,7,0.0381203390968845,0.038116721078269016,1.3261025651980966e-06,1.342789190528595e-06,9.491268597594665e-07,3.730586186519165e-05,3.730586186519165e-05,0.0002616699331016185,0.0002597562523252927,0.00027489223641871186,0.010576473252843173,0.0011628158831967902,0.00955130599335701,0.010026221281147937,0.010576473252843173
539,0.5700000000000003,7,0.04369047027093296,0.043686814856960444,1.3147245213524108e-06,1.3310654152404342e-06,1.0096240359153687e-06,3.757663280368913e-05,3.757663280368913e-05,0.0002596102512705456,0.0002570201073803823,0.0002692477004213765,0.010562781934659126,0.00116528417394188,0.009680080291445004,0.009979335330016634,0.010562781934659126
546,0.5800000000000003,7,0.049602940012731744,0.04959927604947567,1.2855464174786369e-06,1.300521080726444e-06,1.0778957578638566e-06,3.8543146748766405e-05,3.8543146748766405e-05,0.0002601784531425591,0.0002548476063122658,0.00026570903032035597,0.011144366113477551,0.0012672546966630838,0.010083486788355057,0.010051766681493086,0.011144366113477551
553,0.5900000000000003,7,0.05503908798234709,0.0550354445315338,1.2386924090684203e-06,1.2524901803993646e-06,1.152268223828536e-06,3.691133191913269e-05,3.691133191913269e-05,0.00026310581181684527,0.0002585010455275315,0.00026071358290999255,0.011568883620870576,0.0012764526008629856,0.010431604714879613,0.009823989380618446,0.011568883620870576
560,0.6000000000000003,7,0.059462832287224245,0.05945923383519457,1.1776425300548459e-06,1.1904581298197658e-06,1.2303513697958059e-06,3.6085914701608054e-05,3.6085914701608054e-05,0.00026999758998961436,0.00026282899731138685,0.0002597129605975683,0.011016046363584407,0.001285717264682633,0.010603499715384799,0.009882387175399696,0.011016046363584407
567,0.6100000000000003,7,0.06266988059685065,0.06266634630151388,1.106046922227107e-06,1.1181417770391246e-06,1.310106637489839e-06,3.634783110031244e-05,3.634783110031244e-05,0.0002677760718831029,0.00026659949056523303,0.0002556376964515471,0.010766418075690799,0.0013684257445188085,0.010730391552684354,0.010027124788914883,0.010766418075690799
574,0.6200000000000003,7,0.06465485397036774,0.06465161724956842,9.645496275021922e-07,9.745844426805508e-07,1.2975867291473373e-06,3.773241327400705e-05,3.773241327400705e-05,0.0002813846308538537,0.0002894857818574223,0.000257039385087596,0.010898710333082897,0.0013783579617249525,0.010578351908942005,0.010271990935024485,0.010898710333082897
581,0.6300000000000003,7,0.06598612128218369,0.06598282146730068,9.280806604038486e-07,9.386147437623986e-07,1.433119478840216e-06,3.91697377362421e-05,3.91697377362421e-05,0.0002874503884118307,0.00028678303263933046,0.00025121476348535316,0.01080402643431287,0.0012517345768357547,0.010655131002921696,0.010504000177833622,0.01080402643431287
588,0.6400000000000003,7,0.0670466717440196,0.0670434365843779,8.550855461341893e-07,8.656963125442778e-07,1.5143777830232195e-06,3.920553694335866e-05,3.920553694335866e-05,0.00029453311232140736,0.0002946009237216245,0.00024313228798419459,0.010858255155858915,0.0012483822876787872,0.010104363946667977,0.010265975073918429,0.010858255155858915
596,0.6500000000000004,8,0.067724071476781,0.06772178340286325,5.533543704124384e-07,5.610469578628867e-07,1.1736725894773158e-06,4.158386998778275e-05,4.158386998778275e-05,0.00031240706798433903,0.0003132915564513929,0.00025304001250894196,0.011433130419026938,0.0013757501647529492,0.010003701067537065,0.009959028386056648,0.011433130419026938
603,0.6600000000000004,7,0.06802840095481784,0.06802544683266179,6.892805412908678e-07,6.990353058898985e-07,1.565806308866014e-06,4.071004038098215e-05,4.071004038098215e-05,0.00031021137196759417,0.0003104581734904512,0.00024730601838742194,0.010881980073661777,0.0013445750818909265,0.01007630926879759,0.009627414682583168,0.010881980073661777
611,0.6700000000000004,8,0.06769824441011307,0.06769608150153689,4.6086624400096975e-07,4.685635300601096e-07,1.2334788021221812e-06,4.232465095324212e-05,4.232465095324212e-05,0.0003175945026599806,0.0003163566651535447,0.0002506430353469223,0.011755185928866558,0.0012619475023245038,0.009943451751113486,0.010091040677962888,0.011755185928866558
618,0.6800000000000004,7,0.06660948974906745,0.06660660685063145,6.430635656958169e-07,6.531418326698063e-07,1.5866930376339729e-06,4.136555639205012e-05,4.136555639205012e-05,0.0003023516965568131,0.00030389863315329415,0.0002507528899298522,0.01168728674342688,0.001234506889446625,0.009807618672050518,0.009905319170189653,0.01168728674342688
626,0.6900000000000004,8,0.06463659665603805,0.06463442526046126,4.721079816400996e-07,4.7944399841133e-07,1.2198435967478898e-06,4.102798822516976e-05,4.102798822516976e-05,0.00029897869299713405,0.00029239322351104176,0.0002532761619666176,0.011202988243107748,0.0012734916923115157,0.010594614236467906,0.009938584266043335,0.011202988243107748
633,0.7000000000000004,7,0.061922730410845034,0.06191970536555078,7.441069507835011e-07,7.532793357114457e-07,1.5276590077524717e-06,3.893512599762411e-05,3.893512599762411e-05,0.0002843556486218346,0.0002818035492319914,0.0002551144742490831,0.011130197196370427,0.0012086925115092663,0.009968911466528488,0.010010719840843276,0.011130197196370427
640,0.7100000000000004,7,0.058805959234454676,0.05880270780389256,8.520111098756516e-07,8.610791863510702e-07,1.538340265894135e-06,3.805283951108229e-05,3.805283951108229e-05,0.00027405405079578135,0.0002726562373464498,0.0002537646645609996,0.011266960481305339,0.0011741145157976058,0.009777008366272459,0.01008337898529986,0.011266960481305339
647,0.7200000000000004,7,0.05536282441117222,0.05535943249016196,9.535714756034251e-07,9.624434977490615e-07,1.4759060369152138e-06,3.719054601093483e-05,3.719054601093483e-05,0.0002656675563602805,0.0002658901522882392,0.00026049089688509565,0.010819349007881488,0.0013441664954820737,0.01031607005157445,0.010138203378135867,0.010819349007881488
654,0.7300000000000004,7,0.051712742825654696,0.05170921935497778,1.052071028696926e-06,1.060131134245043e-06,1.411268513976144e-06,3.783487981822711e-05,3.783487981822711e-05,0.00025964741673356996,0.0002598649685432891,0.0002625299298837662,0.011496608735078202,0.0012686051298729962,0.010410899660201256,0.010605941468790842,0.011496608735078202
661,0.7400000000000004,7,0.04794019467425471,0.0479365738509527,1.143585335419854e-06,1.1503859470468502e-06,1.3268520195511144e-06,3.697752537726311e-05,3.697752537726311e-05,0.0002539584426814733,0.0002539763180202279,0.0002613720360556419,0.011534473821326134,0.0013233758019860593,0.010112685077086564,0.01070365004711992,0.011534473821326134
668,0.7500000000000004,7,0.04422800983105374,0.04422400833487014,1.3165797442751184e-06,1.3223976281655849e-06,1.3625188111586277e-06,3.5460898022923015e-05,3.5460898022923015e-05,0.0002455373363882908,0.00024288229667481794,0.00025429256303011546,0.01111872977332896,0.0012158196331909963,0.010043906019036966,0.010347213775229269,0.01111872977332896
675,0.7600000000000005,7,0.04055691770359808,0.04055309735620606,1.308188439742628e-06,1.3128770413405437e-06,1.199281910941531e-06,3.565863314039387e-05,3.565863314039387e-05,0.00024068223500260736,0.0002456289992992036,0.0002634495668929693,0.010902397925888001,0.0011538432043912141,0.010450490028859885,0.010800735017202011,0.010902397925888001
