n,t,i,p,u,v,w
49,0.02,18,0.10783462719262221,0.0001411351612573454,0.00014102095510202002,0.00013459227478755605
50,0.02,19,0.10798435468626127,0.0001374021331155378,0.00013740185504844445,0.00013239172996045063
51,0.02,20,0.1081980431812912,0.00013309910438768949,0.00013320967233394507,0.00012942529816829232
52,0.02,21,0.10837130108768775,0.00012862742832316586,0.00012887034962299682,0.00012622847168295323
53,0.02,22,0.10835425662928207,0.00012472026696718456,0.0001250269648499811,0.00012338103606789643
54,0.02,23,0.10815448192726289,0.00012128686926520164,0.00012165143465975203,0.00012092454592720288
55,0.02,24,0.10801366656902053,0.0001168516745619784,0.0001173755380186433,0.00011731257890649546
56,0.02,25,0.10795930236991358,0.00011174485492208937,0.00011224443914786687,0.00011270862504371543
57,0.02,26,0.10797010290148279,0.00010679446848424376,0.00010707072895590352,0.00010812773311549343
58,0.02,27,0.10797070040784904,0.00010247064945651455,0.00010257225225251616,0.00010400548348108075
59,0.02,28,0.10797611874698256,9.899050380591936e-05,9.907889396031498e-05,0.0001007521669171077
60,0.02,29,0.1080172443652236,9.590649997223977e-05,9.60835041322201e-05,9.797320816344699e-05
61,0.02,30,0.10799840261172597,9.335147237175617e-05,9.361266610888013e-05,9.560952872618606e-05
62,0.02,31,0.10806312813931752,9.10460983120001e-05,9.132608224089235e-05,9.32653137311214e-05
63,0.02,32,0.10814128180261977,8.864327147861481e-05,8.889288412852833e-05,9.065092296903644e-05
64,0.02,33,0.10800060071892385,8.664179527824014e-05,8.690628327102851e-05,8.839430955606156e-05
65,0.02,34,0.10790576524225809,8.45920395760218e-05,8.486076438411653e-05,8.603727310695229e-05
66,0.02,35,0.10787031659758402,8.186075827226017e-05,8.20191332141236e-05,8.303567883190363e-05
67,0.02,36,0.10761456618184025,7.986514614599534e-05,7.990405201772895e-05,8.075154563724319e-05
68,0.02,37,0.1074503138418544,7.811956129589715e-05,7.814540318741934e-05,7.889518870519529e-05
69,0.02,38,0.10739136569685474,7.579426083790392e-05,7.580371655104275e-05,7.648486928594909e-05
70,0.02,39,0.10713184237595585,7.437884982398516e-05,7.441352676791964e-05,7.496796444069346e-05
71,0.02,40,0.10697092111223123,7.348323656872963e-05,7.346069122096415e-05,7.39954219487962e-05
72,0.02,41,0.10690578611568176,7.201281949258363e-05,7.193911038551867e-05,7.259468281974789e-05
73,0.02,42,0.10664408456915221,7.12763790125608e-05,7.1263491171406e-05,7.179145493130308e-05
74,0.02,43,0.10645011878751326,7.105956948342724e-05,7.093420134856261e-05,7.149380763060909e-05
75,0.02,44,0.1064138435662705,7.031144025659867e-05,7.008864942427336e-05,7.064804342710462e-05
76,0.02,45,0.10618121553700507,6.983761419412046e-05,6.973947965997376e-05,7.004196147201355e-05
77,0.02,46,0.10595357709215256,6.993864780556924e-05,6.987341877046978e-05,7.007037497945303e-05
78,0.02,47,0.10591969843698283,6.951472085292858e-05,6.937844097284885e-05,6.961123858578848e-05
79,0.02,48,0.10574915753994239,6.894591329335052e-05,6.89430769669741e-05,6.897192701674924e-05
80,0.02,49,0.1054896410933173,6.907511275732035e-05,6.913671359931573e-05,6.906824860757436e-05
81,0.02,50,0.10539728144281138,6.90910586985675e-05,6.910632830755437e-05,6.905904877419592e-05
82,0.02,51,0.10530224829974186,6.860989589419013e-05,6.868276577854727e-05,6.855838380247016e-05
83,0.02,52,0.10507293948870979,6.858106581566742e-05,6.872856830285066e-05,6.853289508472189e-05
84,0.02,53,0.10492900552376769,6.883039615311306e-05,6.889409746807367e-05,6.873800980843173e-05
85,0.02,54,0.10486435343098699,6.864716946305495e-05,6.865360466919427e-05,6.845191452294359e-05
86,0.02,55,0.10468019115367463,6.841136347226725e-05,6.845141111059768e-05,6.815218968698256e-05
87,0.02,56,0.10447495232540709,6.855693416836033e-05,6.86350280186533e-05,6.825753830646247e-05
88,0.02,57,0.10440104379927975,6.850677024582116e-05,6.855338246583845e-05,6.815906858483772e-05
89,0.02,58,0.10430341097216547,6.813296654554503e-05,6.819838383533747e-05,6.776902799385324e-05
90,0.02,59,0.10410082485702282,6.81106056813129e-05,6.821994194639578e-05,6.769814809408764e-05
91,0.02,60,0.10393439889003304,6.835300269353837e-05,6.83952574107149e-05,6.789059521893554e-05
92,0.02,61,0.10387761328295379,6.823162921572227e-05,6.817062900032701e-05,6.767892091887042e-05
93,0.02,62,0.10376903507316723,6.783830184943276e-05,6.781032225663437e-05,6.724583174280625e-05
