n,t,i,p,u,v,w
44,0.02,13,0.10803509378555308,0.0001581693578563177,0.00015884915252727916,0.0001424144458382758
45,0.02,14,0.10789671631907122,0.00015339635077760353,0.00015392602043727007,0.0001395248228768305
46,0.02,15,0.1077641959017115,0.0001498774879429865,0.00015002219966367942,0.0001377687470938584
47,0.02,16,0.10767168433292473,0.00014709324597976994,0.00014708817799165104,0.00013672479073012844
48,0.02,17,0.10767836979278125,0.00014420872713204723,0.0001441695494163327,0.00013539580090191015
49,0.02,18,0.10776885896882261,0.0001407695627298064,0.0001407696689330508,0.00013351623640971277
50,0.02,19,0.10794373153885026,0.00013689636345978748,0.00013688480355671237,0.0001309967099274509
51,0.02,20,0.10818103612184578,0.00013289821516730284,0.0001327485946428737,0.00012824091786090106
52,0.02,21,0.10832721478078551,0.00012876603693663422,0.00012855322073310194,0.00012535749400408722
53,0.02,22,0.10825480189013224,0.00012517866063375846,0.0001248873232697961,0.000122830150518366
54,0.02,23,0.10802849294124593,0.00012185136141729022,0.00012137886539833295,0.00012021731759143456
55,0.02,24,0.10788709308635873,0.00011756811058113576,0.00011696786260211785,0.00011660986077389787
56,0.02,25,0.10787725165323137,0.00011230874748913035,0.00011170219095580895,0.00011191063924580095
57,0.02,26,0.1078825138971718,0.00010733733049796944,0.00010662801007686862,0.00010748826001754723
58,0.02,27,0.10790953365828157,0.00010303415711424985,0.0001022281567008117,0.00010362503790061136
59,0.02,28,0.10795891145417834,9.942817145244713e-05,9.859374572092748e-05,0.0001003760919358057
60,0.02,29,0.10795729744832605,9.64036892141416e-05,9.565717422840373e-05,9.750128102260566e-05
61,0.02,30,0.10800384391115807,9.365759787048806e-05,9.298176873575754e-05,9.48146851469266e-05
62,0.02,31,0.10803005288336362,9.082289903437951e-05,9.036603564862962e-05,9.211257654384225e-05
63,0.02,32,0.10801637292707927,8.825129340666383e-05,8.79379301192269e-05,8.950047303301209e-05
64,0.02,33,0.1079120601526727,8.575218234377432e-05,8.549790959813242e-05,8.692282184131465e-05
65,0.02,34,0.10781619300281815,8.337670351903064e-05,8.322527938709204e-05,8.444685925514811e-05
66,0.02,35,0.1076930705713568,8.091126809026505e-05,8.081132636180075e-05,8.200127559581745e-05
67,0.02,36,0.1074959845669636,7.911285325824804e-05,7.905051221329294e-05,8.012092826136304e-05
68,0.02,37,0.10742113322452664,7.744596927811628e-05,7.732795442073625e-05,7.831976813669819e-05
69,0.02,38,0.107268062432877,7.590020261162901e-05,7.584882136093708e-05,7.672087518129909e-05
70,0.02,39,0.10703165060203011,7.506736036522497e-05,7.508167014059319e-05,7.585108263680497e-05
71,0.02,40,0.10699036403562978,7.394775946213434e-05,7.39305424606922e-05,7.460942158774227e-05
72,0.02,41,0.106865015710998,7.263834242517744e-05,7.27364644476408e-05,7.323892328031512e-05
73,0.02,42,0.1065759197044019,7.217454943825088e-05,7.230969895329847e-05,7.266902031457484e-05
