pseudo-steps, tcurr,n,res,res_p,res_u,res_v,res_w,min,min_p,min_u,min_v,min_w,max,max_p,max_u,max_v,max_w
333,0.26000000000000006,7,0.09822443834429774,0.09822260808761588,6.428840699337248e-07,6.567864511317561e-07,5.305861607926531e-07,4.843386879797558e-05,4.843386879797558e-05,0.00035609105766960515,0.00034454556843842527,0.0003399071853922252,0.012058901944902434,0.001202980976740098,0.009331824499381688,0.01023603170199981,0.012058901944902434
339,0.2700000000000001,6,0.09733898425925716,0.09733623635021514,9.407936208849264e-07,9.652511802221548e-07,8.418642409144134e-07,4.548928921243899e-05,4.548928921243899e-05,0.0003246869157384677,0.000323598618044215,0.0003137326883560528,0.011635956521032133,0.0011208042407421781,0.009032788688355567,0.009908020813893265,0.011635956521032133
345,0.2800000000000001,6,0.09471903236495657,0.09471632002336255,9.001915047890821e-07,9.22303645767298e-07,8.89846443481147e-07,4.35738420573719e-05,4.35738420573719e-05,0.00029833555372874086,0.00030392515589368216,0.0002946590340646294,0.011492707212183845,0.0010848883697188792,0.008872004027069601,0.009884108322561765,0.011492707212183845
351,0.2900000000000001,6,0.0900882115094297,0.09008554426312051,8.448429624490644e-07,8.683572304679882e-07,9.54046116259629e-07,4.140294527525792e-05,4.140294527525792e-05,0.0002801979817579029,0.0002865218914034735,0.00029256968959091,0.011464970162903383,0.0010189316285924338,0.00870139559310005,0.00916235423885583,0.011464970162903383
357,0.3000000000000001,6,0.0831356562651274,0.08313295887935611,8.128685071532457e-07,8.39983251957753e-07,1.0445340121778414e-06,4.007619900821471e-05,4.007619900821471e-05,0.0002631630994024517,0.000281292221729847,0.0002839531155342146,0.011437300055544313,0.0011383497704779751,0.008789388901883912,0.008990962030006837,0.011437300055544313
363,0.3100000000000001,6,0.07389482569957283,0.07389199577248047,8.188834919949697e-07,8.496750444250088e-07,1.1613685559365472e-06,4.165207860524937e-05,4.165207860524937e-05,0.0002547301085262116,0.0002732379879858229,0.0002706899916806976,0.011166806542269283,0.0010937943344922574,0.009277797190906845,0.008723128636848739,0.011166806542269283
369,0.3200000000000001,6,0.06306841551193075,0.06306537817353652,8.543896790874073e-07,8.882672050617749e-07,1.294681510076281e-06,4.1551553486530374e-05,4.1551553486530374e-05,0.0002541153306985891,0.0002661704207641535,0.00026021446696430114,0.011499732818399657,0.0011433931996050614,0.009253775901972737,0.008992844523945505,0.011499732818399657
376,0.3300000000000001,7,0.05125077131027601,0.05124841011675533,6.451017732665922e-07,6.732656851710866e-07,1.0428260622486494e-06,4.224752588379089e-05,4.224752588379089e-05,0.00026718393627594235,0.0002601388860165401,0.0002664361779273525,0.011290385296216704,0.0011859120306691848,0.009320941046010342,0.00903356022295874,0.011290385296216704
383,0.34000000000000014,7,0.04020036909674051,0.04019789384107564,6.626738546493173e-07,6.896282371241588e-07,1.1229535730926772e-06,4.3856842573415764e-05,4.3856842573415764e-05,0.0002773616581390232,0.0002700482438340463,0.00026413933821150794,0.011372332423820988,0.0010920490199328567,0.009675999612744285,0.00946215004711985,0.011372332423820988
390,0.35000000000000014,7,0.032496384132938955,0.03249381706947885,6.816814250601838e-07,7.048332694267215e-07,1.1805487656187181e-06,4.390220508436848e-05,4.390220508436848e-05,0.00028034652345887515,0.0002749486977182398,0.0002660564968811049,0.011151334126969285,0.0011257691189111446,0.010044583271546599,0.010123279085093483,0.011151334126969285
