t,int-E,int-enst
0.0,62.012553360616025,31.00627668034817
0.09999999999999999,61.97431082245581,31.02923785350245
0.20000000000000004,61.9887408876349,31.209283245637888
0.3000000000000001,61.89401660131537,31.45407069588649
0.4000000000000002,61.83912000738499,31.825713509108795
0.5000000000000002,61.89962641139514,32.360541044590356
0.6000000000000003,61.91337468565429,32.98630458583303
0.7000000000000004,61.86893912316014,33.67412499023065
0.8000000000000005,61.7910988968825,34.44936382640317
0.9000000000000006,61.73634851718017,35.34465515760894
1.0000000000000007,61.75480758614386,36.32259296751
1.1000000000000008,61.77475264611371,37.41415262613505
1.2000000000000008,61.75476993231764,38.56766339462752
1.300000000000001,61.67800018153673,39.72670589292184
1.400000000000001,61.595290738993285,40.950487452649504
1.500000000000001,61.59726944481641,42.2762347663449
1.6000000000000012,61.623335167409024,43.646464453911136
1.7000000000000013,61.60309378308214,45.03080168869815
1.8000000000000014,61.537567746839905,46.42493876820044
1.9000000000000015,61.46924614431849,47.849689762197634
2.0000000000000013,61.46072484973549,49.27353695138905
2.099999999999999,61.45895131217238,50.78192555065511
2.199999999999997,61.42100362582098,52.23416739514819
2.299999999999995,61.368441013102114,53.74379514299246
2.399999999999993,61.30614726791092,55.31144330429777
2.4999999999999907,61.27752025280778,56.85220040904235
2.5999999999999885,61.245893450651735,58.49741016039177
2.6999999999999864,61.19806165098112,60.22110095235854
2.7999999999999843,61.12603287506567,62.013684055017364
2.899999999999982,61.08074910921617,63.97232267824856
2.99999999999998,61.04009784769511,66.08824901018014
3.099999999999978,60.977261000812184,68.42753806985745
3.1999999999999758,60.903029564367785,71.09190410914053
3.2999999999999736,60.84414904857976,74.08729884657208
3.3999999999999715,60.779417014070724,77.48391112121512
3.4999999999999694,60.70309316043514,81.37002283952641
3.5999999999999672,60.622509045970965,85.94877887260992
3.699999999999965,60.5406985398449,91.11746238883102
3.799999999999963,60.45278479367723,96.96950369375166
3.899999999999961,60.35447927047161,103.64010474225228
3.9999999999999587,60.25391236200712,111.28507223686664
4.099999999999957,60.14892278387015,119.66108375788457
4.199999999999955,60.02080347273656,128.36825160278835
4.299999999999953,59.89629545256972,137.39665746416813
4.399999999999951,59.75761251883524,145.68396998654154
4.4999999999999485,59.59494454269686,152.5449143808162
4.599999999999946,59.44181637596025,158.32309747902417
4.699999999999944,59.26020920438971,162.88538642143155
4.799999999999942,59.07586916332354,167.3873179779757
4.89999999999994,58.885682053154675,171.92939816399036
4.999999999999938,58.666519002643184,175.6864067239894
5.099999999999936,58.46092811944812,178.83528913384777
5.199999999999934,58.23637152618971,181.46110403250003
5.299999999999931,57.99990154014634,184.0412762657227
5.399999999999929,57.7699717849718,186.83528947208913
5.499999999999927,57.517745536610526,189.25435771406453
5.599999999999925,57.27252864578288,191.72701667072016
5.699999999999923,57.01377325586663,194.37201494327275
5.799999999999921,56.75044239657995,197.34315699582308
5.899999999999919,56.48234532668102,200.57543164000722
5.9999999999999165,56.20212713981958,204.05593377515527
6.099999999999914,55.916122476715934,208.6056371841713
6.199999999999912,55.616519769270035,214.13396850247207
6.29999999999991,55.308239174472725,219.7650474775152
6.399999999999908,54.987395394562405,224.54415459088847
6.499999999999906,54.657463476367724,228.34098406422692
6.599999999999904,54.31630947504773,231.2502599881707
6.699999999999902,53.96773079781692,233.2951624671659
6.7999999999998995,53.60901967331732,235.043040475626
6.899999999999897,53.24258515678559,237.32888078471234
6.999999999999895,52.86634994757958,240.60993464067593
7.099999999999893,52.481314810676984,244.66338218957492
7.199999999999891,52.086501203387186,249.4006459467769
7.299999999999889,51.6787160871271,254.95901605852208
7.399999999999887,51.258141829237076,262.8372459752769
7.4999999999998845,50.82131053889992,273.8961541112222
7.599999999999882,50.36578695519062,287.15910922877464
7.69999999999988,49.89007413613262,301.33931164506487
7.799999999999878,49.394247444885664,315.5893705270824
7.899999999999876,48.882905116203446,329.543308169332
7.999999999999874,48.35469471958308,342.8312112179344
8.099999999999872,47.812936757915466,356.0820313152676
8.19999999999987,47.25629143835741,369.26858373925046
8.299999999999867,46.68373988799247,379.5161790481615
8.399999999999865,46.09652398722498,385.58732011714244
8.499999999999863,45.49547285262131,385.2897129807571
8.599999999999861,44.88761022873758,378.2808860501788
8.699999999999859,44.27366047751991,369.1694085823719
8.799999999999857,43.66079190387319,362.45930081826583
8.899999999999855,43.051117259843174,358.1142953329551
8.999999999999853,42.44757158184873,355.1730279512699
9.09999999999985,41.854816774106006,352.10989188619436
9.199999999999848,41.26930620448036,348.46820999775497
9.299999999999846,40.69243618814861,346.26721967349215
9.399999999999844,40.12347979800937,347.0135405489065
9.499999999999842,39.55849507371306,349.49360888653916
9.59999999999984,38.99578217549392,352.41246793749286
9.699999999999838,38.43558634279327,355.2986002371324
9.799999999999836,37.877653789554245,357.4228947866588
9.899999999999833,37.32231735283889,357.97986117339656
9.999999999999831,36.769923127380544,357.7086889661871
10.09999999999983,36.219421518476736,357.0620142892108
