n,t,i,p,u,v,w
57,0.02,34,0.10667988261227952,0.00020349525593883205,0.00020388706913602604,0.00020511316995594435
58,0.02,35,0.10638422664589778,0.00020036075722600826,0.00020072282178478293,0.00020221169454875192
59,0.02,36,0.10611534696996772,0.00019716973601673144,0.0001975415673697057,0.00019920175941965786
60,0.02,37,0.10581980096697584,0.0001943584650661538,0.0001947687302933058,0.00019656711328152425
61,0.02,38,0.1055485273805432,0.00019254049288041028,0.00019272140374687255,0.00019465052829638514
62,0.02,39,0.10526397305528215,0.00019108564072330413,0.00019132022026468903,0.00019308824499431168
63,0.02,40,0.10496237700439953,0.00019018613369858433,0.00019040999930171272,0.00019177596820305328
64,0.02,41,0.1047085272036208,0.00018916164982132167,0.00018954828637675737,0.00019058978212159748
65,0.02,42,0.10443784152392978,0.0001882425593964245,0.00018843716619495196,0.0001892122832073962
66,0.02,43,0.10413173593514252,0.00018714463484928508,0.0001872757292873302,0.00018778389963199687
67,0.02,44,0.10387412974313662,0.00018577712806380889,0.0001859628265831623,0.00018652275974013818
68,0.02,45,0.10358868606449347,0.0001841295450525312,0.00018420307330636057,0.000184698952707734
69,0.02,46,0.10328717494841469,0.00018255138754754653,0.00018264780820439726,0.0001830561664222623
70,0.02,47,0.10300449023800295,0.00018091859804218277,0.00018107789506542269,0.000181425409569971
71,0.02,48,0.1027055846292506,0.0001792445178918336,0.00017936748827529885,0.00017970170164622766
72,0.02,49,0.1024217735172062,0.00017767273054783019,0.00017776233987113382,0.0001781639546303179
73,0.02,50,0.10215257501520597,0.00017620093572675612,0.00017629394862560247,0.00017647726482420035
74,0.02,51,0.10190037169146579,0.0001749199164536756,0.00017476262219342858,0.00017503026894735105
75,0.02,52,0.101616977213051,0.00017394470028446235,0.00017376608844594816,0.0001741938501124618
76,0.02,53,0.10134330564134712,0.00017329532795153053,0.00017300472345254292,0.0001733505082725071
77,0.02,54,0.10113186055333317,0.00017252921807741698,0.0001721917519796102,0.0001724487120238276
78,0.02,55,0.10088395110565428,0.00017153390836174043,0.0001711546054263904,0.0001712362770460865
79,0.02,56,0.10061352017027103,0.00017110208353703194,0.00017066284887799519,0.0001705347946892912
80,0.02,57,0.10040016591256526,0.0001707021103386471,0.00017023357125481043,0.00016978047256799292
81,0.02,58,0.10019379504798416,0.00017008169237514386,0.00016953170304355656,0.00016880054649911477
